idAlbum|numBrano|titoloBrano|durataBrano|dataFondazione|idGruppo
1|1|The Changeling|4.21|1971-04-01|1
1|2|Love Her Madly|3.20|1971-04-01|1
1|3|Been Down So Long|4.12|1971-04-01|1
1|4|Cars Hiss by My Window|4.41|1971-04-01|1
1|5|L.A. Woman|7.53|1971-04-01|1
1|6|L'America|4.26|1971-04-01|1
1|7|Hyacinth House|4.27|1971-04-01|1
1|10|Crawling King Snake|4.28|1971-04-01|1
1|9|The WASP (Texas Radio and the Big Beat)|4.29|1971-04-01|1
1|10|Riders on the Storm|7.15|1971-04-01|1
2|1|Natural Mystic|4.15|1998-08-25|2
2|2|Them Belly Full|3.46|1998-08-25|2
2|3|I Shot The Sheriff|5.34|1998-08-25|2
2|4|Concrete Jungle|5.34|1998-08-25|2
2|5|African Unite|3.06|1998-08-25|2
2|6|Zimbabwe|3.20|1998-08-25|2
2|7|Jamming|6.58|1998-08-25|2
2|8|One Drop|5.05|1998-08-25|2
2|9|Wake Up And Live|6.15|1998-08-25|2
2|10|Ride Natty Ride|4.22|1998-08-25|2
3|1|Keep it up|3.03|2022-03-11|3
3|2|Open a Window|3.38|2022-03-11|3
3|3|Worth it|2.44|2022-03-11|3
3|4|Amazing|3.29|2022-03-11|3
3|5|One a Million|3.14|2022-03-11|3
3|6|If you Want It|3.07|2022-03-11|3
3|7|7.AM|3.19|2022-03-11|3
3|8|The Shade|3.01|2022-03-11|3
3|9|Making Time|1.55|2022-03-11|3
3|10|Shoot me Down|4.52|2022-03-11|3
3|11|Who Cares?|2.29|2022-03-11|3
4|1|Ai Fantasmi|4.53|2017-01-27|4
4|2|Buio|3.18|2017-01-27|4
4|3|Inspiria|4.42|2017-01-27|4
4|4|Corvi|3.00|2017-01-27|4
4|5|Ragnatele|3.21|2017-01-27|4
4|6|Piccolo Principe|3.17|2017-01-27|4
4|7|Misery Deve Morire|2.48|2017-01-27|4
4|8|Verso Orizzonti |4.34|2017-01-27|4
4|9|Luna Blu|2.52|2017-01-27|4
4|10|Anima|3.50|2017-01-27|4
5|1|Burning|3.03|2020-07-12|5
5|2|Hooked|3.26|2019-11-02|5
5|3|Cherry|2.37|2021-08-26|5
5|4|Homies (feat. April-Ess)|3.16|2022-05-06|5
5|5|Real (feat. Cecilia ) - VIP Mix|3.04|2019-05-13|5
5|6|Get Back|5.19|2016-03-08|5
5|7|Time|5.04|2019-02-04|5
5|8|Found Love (feat. Carrie Baxter)|2.16|2021-07-09|5
5|9|Put It On Me (feat. Mila Falls)|3.10|2020-10-21|5
5|10|Shook|3.46|2019-08-16|5
6|1|As Good As New|3.24|1979-01-01|6
6|2|Voulez Vous|5.09|1979-01-01|6
6|3|I Have A Dream|4.45|1979-01-01|6
6|4|Angeleyes|4.20|1979-01-01|6
6|5|The King Has Lost His Crown|3.32|1979-01-01|6
6|6|Does Your Mother Know|3.13|1979-01-01|6
6|7|If It Wasn't For The Nights|5.09|1979-01-01|6
6|8|Chiquita|5.26|1979-01-01|6
6|9|Lovers|3.30|1979-01-01|6
6|10|Kisses Of Fire|3.16|1979-01-01|6
6|11|Summer Night City|3.34|1979-01-01|6
6|12|Lovelight|3.46|1979-01-01|6
6|13|Gimme! Gimme! Gimme!|4.52|1979-01-01|6
7|1|Blu|3.13|2021-02-12|7
7|2|Destri|3.05|2021-02-12|7
7|3|GBTR|3.30|2021-02-12|7
7|4|Però|2.49|2021-02-12|7
7|5|Lacri-ma|3.14|2021-02-12|7
7|6|OK|2.52|2021-02-12|7
7|7|7|2.58|2021-02-12|7
7|8|Belva|2.55|2021-02-12|7
7|9|Coltellata|2.45|2021-02-12|7
7|10|Scusa|3.30|2021-02-12|7
7|11|Un po' come noi|2.49|2021-02-12|7
